ID,Latitude,Longitude,Driver_primary_code,Driver_primary,Confidence_primary,Driver_secondary,Confidence_secondary,Active_learning,Region,Region_code,Tags,Notes,Country_Filter,Country_Filter_Source
3118,49.954996894929614,37.83499978275255,5,Wildfire,Medium,Logging,High,0,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
3162,53.73499910930797,31.525001666830796,4,Logging,High,,Not applicable,0,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
3174,54.27500072177177,21.10500106575032,4,Logging,High,,Not applicable,0,Europe,3,Not applicable,logging,Russia,built_in_approx_russia_geometry
3194,55.07499912717083,22.354998581387697,4,Logging,High,,Not applicable,0,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
3463,54.69500119782191,20.32499955587297,6,Settlements & infrastructure,High,Commodity-driven deforestation,High,0,Europe,3,Energy,Industrial plant; power lines,Russia,built_in_approx_russia_geometry
3600,54.6049987241561,20.485001000142493,5,Wildfire,Low,,Not applicable,1,Europe,3,Not applicable,"There's a significant gap in the high res timeseries imagery. Difficult to tell what happened circa 2010, but does appear as though wildfire could be driver",Russia,built_in_approx_russia_geometry
3675,62.98500059641486,31.244999136007465,2,Hard commodities,High,,Not applicable,1,Europe,3,Mining,,Russia,built_in_approx_russia_geometry
3691,68.62500082058233,28.21499981981319,4,Logging,High,,Not applicable,1,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
3726,67.7849998581102,28.86500074031399,4,Logging,High,,Not applicable,1,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
3728,67.82500024061537,29.06500032534657,4,Logging,High,,Not applicable,1,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry
5281,58.25500031578706,86.03499936062542,4,Logging,Medium,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5282,57.614998916730066,57.16499993560383,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5301,53.76499993757662,101.1649989943129,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5306,50.3150001767446,136.30500060376022,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5310,56.21499949466637,48.12499971666332,4,Logging,Medium,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5316,60.274999818841934,44.45500126549116,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5319,56.24500034074871,134.95499883130643,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5347,55.264999179798735,101.16500124829236,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5350,53.89500060002054,82.37500041728711,4,Logging,Medium,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5375,57.834999821792,33.15499930838282,7,Other natural disturbances,Medium,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5391,55.50499913611947,128.5050005376442,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5396,58.86500083432087,30.925000650322467,1,Permanent agriculture,Low,,Not applicable,0,Asia,5,Agriculture,,Russia,built_in_approx_russia_geometry
5410,51.12499812402781,112.00500232478684,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5426,58.73500020582215,131.88499917206653,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5427,53.10499951002016,118.9650013800897,5,Wildfire,Low,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5446,56.90499859396286,32.505000611706365,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5455,62.91499942184926,61.054999342349106,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5464,56.73499981621782,118.25500101464922,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5467,68.58500049393297,136.2249998643583,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5473,59.30500043132925,130.98499879848745,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5475,53.57499990686501,128.6749993593131,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5482,56.81500052865657,57.21499984314784,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5483,59.24500097116978,135.1849992420386,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5484,54.56500057384093,121.71500025839018,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5486,59.74500001808691,70.34500122175535,4,Logging,High,Commodity-driven deforestation,High,0,Asia,5,Not applicable,energy is secondary,Russia,built_in_approx_russia_geometry
5488,57.535000421116095,43.54500130943333,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5495,55.40499934140713,121.855000495768,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5498,59.1049986397109,130.77499959522254,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5501,58.42499907226393,47.9250001441909,4,Logging,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5502,60.03499987161484,134.00500074551306,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5514,67.64499967146836,145.37499938592526,5,Wildfire,High,Other natural disturbances,High,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5542,60.595000512427085,117.57499920686212,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5552,65.32499858639436,126.07500002024312,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5557,69.2650000035549,142.13499877088125,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
5567,66.85500085228612,134.0749997291289,5,Wildfire,High,,Not applicable,0,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry
