sample_id,source_file,source_id,lat,lon,driver,confidence,source_event_year,event_year,total_loss_area_ha,dominant_loss_area_ha,dominant_year_share,sample_status,pre_scene_id,pre_date,post_scene_id,post_date,pre_local_cloud,post_local_cloud,manual_validation,manual_notes,geometry,event_mask_metadata,local_raster_paths
ff28aeec3193865dda5624c729314da2666c8ef4,training_2001_2025_v1_3.csv,3162,53.73499910930797,31.525001666830796,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [31.525001666830796, 53.73499910930797]}",,
5569e3a6c4b408e65748508f17acbd897bb4db4a,training_2001_2025_v1_3.csv,3174,54.27500072177177,21.10500106575032,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [21.10500106575032, 54.27500072177177]}",,
42d61bd134f424c62e5dd6a910c58c3670f6d1b6,training_2001_2025_v1_3.csv,3194,55.07499912717083,22.354998581387697,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [22.354998581387697, 55.07499912717083]}",,
993427d61838e664486b9164c3331b1f4567a559,training_2001_2025_v1_3.csv,3691,68.62500082058233,28.21499981981319,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [28.21499981981319, 68.62500082058233]}",,
014329d954101fce4f8e96f9b51372982069c3c2,training_2001_2025_v1_3.csv,3726,67.7849998581102,28.86500074031399,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [28.86500074031399, 67.7849998581102]}",,
7593cbb0be49f3d511015121f69332adaf938362,training_2001_2025_v1_3.csv,3728,67.82500024061537,29.06500032534657,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [29.06500032534657, 67.82500024061537]}",,
52209bc49d0def1edda64d98d0f52a6f45a18fb1,training_2001_2025_v1_3.csv,5281,58.25500031578706,86.03499936062542,Logging,Medium,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [86.03499936062542, 58.25500031578706]}",,
f70b95f139fa36889ecb5417cc0461d615a917e2,training_2001_2025_v1_3.csv,5282,57.614998916730066,57.16499993560383,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [57.16499993560383, 57.614998916730066]}",,
6168681d4c85a4b30e8d8d42b382df063c387c20,training_2001_2025_v1_3.csv,5301,53.76499993757662,101.1649989943129,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [101.1649989943129, 53.76499993757662]}",,
202f937d66cfdba85f6fb9ffacd47e4d56c6bee4,training_2001_2025_v1_3.csv,5306,50.3150001767446,136.30500060376022,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [136.30500060376022, 50.3150001767446]}",,
b998dd2b482d67377ac8eff709137f60738827fd,training_2001_2025_v1_3.csv,5310,56.21499949466637,48.12499971666332,Logging,Medium,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [48.12499971666332, 56.21499949466637]}",,
c5ebb8dffe9c05eb4f47f5b18338c3e0f85b37ef,training_2001_2025_v1_3.csv,5316,60.274999818841934,44.45500126549116,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [44.45500126549116, 60.274999818841934]}",,
bf56245bc7ced86d2385f67c25d977a9c08bb2b6,training_2001_2025_v1_3.csv,5347,55.264999179798735,101.16500124829236,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [101.16500124829236, 55.264999179798735]}",,
5aa8a75d1ab319c714361fc7ca03033cb8468e8d,training_2001_2025_v1_3.csv,5350,53.89500060002054,82.37500041728711,Logging,Medium,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [82.37500041728711, 53.89500060002054]}",,
22933dd53a96f89ef2582834898ef9585f9bc340,training_2001_2025_v1_3.csv,5446,56.90499859396286,32.505000611706365,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [32.505000611706365, 56.90499859396286]}",,
9a3701f627490623b7db1a9e039d8ddea5f969c3,training_2001_2025_v1_3.csv,5482,56.81500052865657,57.21499984314784,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [57.21499984314784, 56.81500052865657]}",,
d033a5b4c1a46fe6fc8e4c8abacc95ecc527b252,training_2001_2025_v1_3.csv,5486,59.74500001808691,70.34500122175535,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [70.34500122175535, 59.74500001808691]}",,
c7fae4986437d8b806bc93b11290126f65d5852a,training_2001_2025_v1_3.csv,5488,57.535000421116095,43.54500130943333,Logging,High,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [43.54500130943333, 57.535000421116095]}",,
